year,level_1,level_2,level_3,value
2015,Females,75 - 79,"Yishun- Total",1740
2015,Females,80 - 84,"Total",30850
2015,Females,80 - 84,"Ang Mo Kio- Total",1910
2015,Females,80 - 84,"Bedok- Total",2840
2015,Females,80 - 84,"Bishan- Total",840
2015,Females,80 - 84,"Bukit Batok- Total",870
2015,Females,80 - 84,"Bukit Merah- Total",2070
2015,Females,80 - 84,"Bukit Panjang- Total",780
2015,Females,80 - 84,"Bukit Timah- Total",660
2015,Females,80 - 84,"Changi- Total",20
2015,Females,80 - 84,"Choa Chu Kang- Total",880
2015,Females,80 - 84,"Clementi- Total",870
2015,Females,80 - 84,"Downtown Core- Total",50
2015,Females,80 - 84,"Geylang- Total",1330
2015,Females,80 - 84,"Hougang- Total",1850
2015,Females,80 - 84,"Jurong East- Total",600
2015,Females,80 - 84,"Jurong West- Total",1250
2015,Females,80 - 84,"Kallang- Total",1210
2015,Females,80 - 84,"Mandai- Total",10
2015,Females,80 - 84,"Marine Parade- Total",600
2015,Females,80 - 84,"Newton- Total",60
2015,Females,80 - 84,"Novena- Total",580
2015,Females,80 - 84,"Outram- Total",300
2015,Females,80 - 84,"Pasir Ris- Total",840
2015,Females,80 - 84,"Punggol- Total",390
2015,Females,80 - 84,"Queenstown- Total",1440
2015,Females,80 - 84,"River Valley- Total",50
2015,Females,80 - 84,"Rochor- Total",170
2015,Females,80 - 84,"Sembawang- Total",380
2015,Females,80 - 84,"Sengkang- Total",970
2015,Females,80 - 84,"Serangoon- Total",1140
2015,Females,80 - 84,"Singapore River- Total",10
2015,Females,80 - 84,"Sungei Kadut- Total",20
2015,Females,80 - 84,"Tampines- Total",1780
2015,Females,80 - 84,"Tanglin- Total",140
2015,Females,80 - 84,"Toa Payoh- Total",1680
2015,Females,80 - 84,"Western Water Catchment- Total",10
2015,Females,80 - 84,"Woodlands- Total",1100
2015,Females,80 - 84,"Yishun- Total",1160
2015,Females,85 & Over,"Total",27660
2015,Females,85 & Over,"Ang Mo Kio- Total",1520
2015,Females,85 & Over,"Bedok- Total",2700
2015,Females,85 & Over,"Bishan- Total",770
2015,Females,85 & Over,"Bukit Batok- Total",720
2015,Females,85 & Over,"Bukit Merah- Total",1980
2015,Females,85 & Over,"Bukit Panjang- Total",680
2015,Females,85 & Over,"Bukit Timah- Total",630
2015,Females,85 & Over,"Changi- Total",20
2015,Females,85 & Over,"Choa Chu Kang- Total",700
2015,Females,85 & Over,"Clementi- Total",780
2015,Females,85 & Over,"Downtown Core- Total",50
2015,Females,85 & Over,"Geylang- Total",1180
2015,Females,85 & Over,"Hougang- Total",1620
2015,Females,85 & Over,"Jurong East- Total",500
2015,Females,85 & Over,"Jurong West- Total",940
2015,Females,85 & Over,"Kallang- Total",1120
2015,Females,85 & Over,"Mandai- Total",10
2015,Females,85 & Over,"Marine Parade- Total",620
2015,Females,85 & Over,"Newton- Total",60
2015,Females,85 & Over,"Novena- Total",610
2015,Females,85 & Over,"Orchard- Total",10
2015,Females,85 & Over,"Outram- Total",410
2015,Females,85 & Over,"Pasir Ris- Total",810
2015,Females,85 & Over,"Punggol- Total",380
2015,Females,85 & Over,"Queenstown- Total",1140
2015,Females,85 & Over,"River Valley- Total",80
2015,Females,85 & Over,"Rochor- Total",160
2015,Females,85 & Over,"Sembawang- Total",330
2015,Females,85 & Over,"Sengkang- Total",830
2015,Females,85 & Over,"Serangoon- Total",1150
2015,Females,85 & Over,"Singapore River- Total",10
2015,Females,85 & Over,"Sungei Kadut- Total",40
2015,Females,85 & Over,"Tampines- Total",1580
2015,Females,85 & Over,"Tanglin- Total",160
2015,Females,85 & Over,"Toa Payoh- Total",1540
2015,Females,85 & Over,"Western Water Catchment- Total",30
2015,Females,85 & Over,"Woodlands- Total",810
2015,Females,85 & Over,"Yishun- Total",1010
